Reference, Value, Footprint, Datasheet, manf#, Digikey, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11
"U50","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U51","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U52","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U53","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U54","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U55","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U56","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U57","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U58","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U59","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U60","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U61","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U62","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U63","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U64","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"C7","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"C8","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"U65","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U66","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U67","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U68","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U69","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U70","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U71","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U72","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U73","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U74","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U75","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U76","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U77","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U78","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U79","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U80","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"C9","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"C10","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"U81","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U82","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U83","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U84","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U85","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U86","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U87","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U88","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U89","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U90","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U91","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U92","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U93","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U94","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U95","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U96","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"C11","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"C12","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"U97","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U98","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U99","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U100","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U101","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U102","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U103","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U104","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U105","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U106","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U107","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U108","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U109","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U110","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U111","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U112","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"C14","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"C13","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"U113","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"C15","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"U114","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U115","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U116","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U117","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U118","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U119","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U120","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U121","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"C16","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"U122","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U123","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U124","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U125","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U126","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U127","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"U128","APA102","chromogram_libs:APA102","","mfr_pn","","","","","","","","",""
"HB1","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB2","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB3","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB4","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB5","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB6","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB7","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB8","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB9","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB10","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB11","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB12","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB13","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
